
Клиентов за час =  10
Время на обслуживание (интенсивность обслуживания) = 5
Интенсивность поступления =  6.0
Ограничение посетителей = 100
 вариант B
1000 клиентов ограничение 

  № клиента    Время поступ    Время обслуживания    Т кумулятив    Начало обслуживания    конец обслуживания    время в сист    время в очереди    № осбл. покуп    Длинна очереди    Время простоя
        187           2.372                 6.869       1031.19               1052.52               1059.39            28.193             21.324              177                 9            0
        188           2.092                15.533       1033.29               1059.39               1074.92            41.634             26.101              180                 7            0
        189           6.061                 1.635       1039.35               1074.92               1076.56            37.207             35.573              182                 6            0
        190           5.218                 2.455       1044.57               1076.56               1079.01            34.445             31.989              184                 5            0
        191           8.18                  4.768       1052.75               1079.01               1083.78            31.033             26.265              187                 3            0
        192           4.146                 0.448       1056.89               1083.78               1084.23            27.335             26.887              187                 4            0
        193           4.813                 4.565       1061.7                1084.23               1088.79            27.088             22.522              188                 4            0
        194           1.848                 1.142       1063.55               1088.79               1089.93            26.382             25.24               188                 5            0
        195           1.674                 1.299       1065.23               1089.93               1091.23            26.007             24.708              188                 6            0
        196           1.28                  3.588       1066.51               1091.23               1094.82            28.314             24.727              188                 7            0
        197          10.074                 4.903       1076.58               1094.82               1099.72            23.144             18.24               190                 6            0
        198           1.275                 3.336       1077.86               1099.72               1103.06            25.205             21.869              190                 7            0
        199           3.113                 3.142       1080.97               1103.06               1106.2             25.233             22.092              191                 7            0
        200           0.151                 0.434       1081.12               1106.2                1106.64            25.516             25.082              191                 8            0
        201           2.832                 8.114       1083.95               1106.64               1114.75            30.798             22.684              192                 8            0
        202           6.213                 2.641       1090.16               1114.75               1117.39            27.226             24.585              195                 6            0
        203          26.77                  6.88        1116.93               1117.39               1124.27             7.336              0.456              202                 0            0
        204           5.548                 0.804       1122.48               1124.27               1125.08             2.592              1.788              203                 0            0
        205           2.728                 0.401       1125.21               1125.21               1125.61             0.401              0                  204                 0            0.94
        206           6.307                 0.397       1131.52               1131.52               1131.91             0.397              0                  205                 0            6.307
