+--------------------------------+--------------------+
|        Параметр системы        |      Значение      |
+--------------------------------+--------------------+
| Коэф. загруженности работников | 0.7411755159633561 |
|     Средняя длина очереди      |        2.23        |
|  Максимальная длина ожидания   |         8          |
|     Средняя время ожидания     | 7.658891580995402  |
|    Средняя время пребывания    | 18.585212448073978 |
+--------------------------------+--------------------+
+-----------+--------------------+---------------------+---------------------+--------------------+---------------------+--------------------+---------------+
| № клиента |   Время прибытия   |   Время ожидания    | Начало обслуживания | Конец обслуживания | Время обслуживания  |  Время в системе   | Длина очереди |
|    85     | 617.3373324185088  |         0.0         |  617.3373324185088  |  618.640409762817  | 1.3030773443081216  | 1.3030773443081216 |       1       |
|    84     | 616.3577692297159  |         0.0         |  616.3577692297159  | 619.6868507799315  | 3.3290815502156192  | 3.3290815502156192 |       0       |
|    87     | 645.1958985422164  |         0.0         |  645.1958985422164  | 652.0323719680962  |  6.836473425879831  | 6.836473425879831  |       1       |
|    88     | 647.0068531133032  |  5.025518854792949  |  652.0323719680962  | 661.9988158531694  |  9.966443885073204  | 14.991962739866153 |       2       |
|    86     | 637.8514203652085  |         0.0         |  637.8514203652085  | 669.0600932391283  | 31.208672873919795  | 31.208672873919795 |       0       |
|    89     | 652.0063799302484  |  9.992435922921004  |  661.9988158531694  |  671.926621995947  |  9.927806142777627  | 19.92024206569863  |       3       |
|    91     | 675.0612109199656  |         0.0         |  675.0612109199656  | 680.0451872436155  |  4.983976323649927  | 4.983976323649927  |       1       |
|    90     | 672.4174720065708  |         0.0         |  672.4174720065708  | 685.9255592102448  | 13.508087203673995  | 13.508087203673995 |       0       |
|    92     | 699.2401717830575  |         0.0         |  699.2401717830575  | 702.9139519704528  |  3.673780187395323  | 3.673780187395323  |       0       |
|    94     | 705.0364973003077  |         0.0         |  705.0364973003077  |  710.810723810583  |  5.774226510275298  | 5.774226510275298  |       1       |
|    95     |  707.700919124559  |  3.109804686023949  |  710.810723810583   | 714.6769525181838  | 3.8662287076008397  | 6.976033393624789  |       2       |
|    96     | 713.8366368412859  | 0.8403156768979443  |  714.6769525181838  | 717.5024024128098  |  2.82544989462599   | 3.6657655715239343 |       2       |
|    93     | 704.9441650891528  |         0.0         |  704.9441650891528  | 721.0986556168835  | 16.154490527730786  | 16.154490527730786 |       0       |
